GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
santek,com.factoryshapes.dao,InputData,0,24,0,0,0,11,0,7,0,7
santek,com.factoryshapes.output,ConsoleOutputter,0,42,1,3,0,13,1,3,0,2
santek,com.factoryshapes.output,BaseOutputter,0,3,0,0,0,1,0,1,0,1
santek,com.factoryshapes.output,FileOutputter,0,65,1,7,0,21,1,5,0,2
santek,com.factoryshapes,ShapesProcessor,11,126,3,7,5,36,3,8,0,6
santek,com.factoryshapes,ShapesMain,63,0,0,0,16,0,2,0,2,0
santek,com.factoryshapes,ShapesSizeComparator,0,9,0,0,0,2,0,2,0,2
santek,com.factoryshapes.shapes,Square,0,19,0,0,0,6,0,4,0,4
santek,com.factoryshapes.shapes,ShapeFactoryImpl,8,36,2,4,2,7,2,4,0,2
santek,com.factoryshapes.shapes,Rectangle,0,25,0,0,0,7,0,4,0,4
santek,com.factoryshapes.shapes,Circle,0,21,0,0,0,6,0,4,0,4
